,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,Fine Tuning Time(m),Test Labeling Time(m),classification_report
0,5768,0.0001,32,6.315011657201326,0.9572072072072072,0.9613288239168958,8.93176737865981,0.9449183618327093,0.9542814520387435,10.140404323736826,0.1590055505434672,"              precision    recall  f1-score   support

         LOC     0.4939    0.8040    0.6119       301
         ORG     0.3838    0.7884    0.5163       553
         PER     0.9213    0.8542    0.8865       288

   micro avg     0.4881    0.8091    0.6089      1142
   macro avg     0.5997    0.8155    0.6716      1142
weighted avg     0.5484    0.8091    0.6348      1142
"
0,5768,0.0001,16,6.315011657201326,0.9572072072072072,0.0,4.68364429890233,0.9449183618327093,0.9542814520387435,9.733006048202515,0.17081096172332763,"              precision    recall  f1-score   support

         LOC     0.4939    0.8040    0.6119       301
         ORG     0.3838    0.7884    0.5163       553
         PER     0.9213    0.8542    0.8865       288

   micro avg     0.4881    0.8091    0.6089      1142
   macro avg     0.5997    0.8155    0.6716      1142
weighted avg     0.5484    0.8091    0.6348      1142
"
0,5768,0.0001,8,6.315011657201326,0.9572072072072072,0.0,2.3321968553518806,0.9449183618327093,0.9542814520387435,11.530029539267222,0.17614474693934123,"              precision    recall  f1-score   support

         LOC     0.4939    0.8040    0.6119       301
         ORG     0.3838    0.7884    0.5163       553
         PER     0.9213    0.8542    0.8865       288

   micro avg     0.4881    0.8091    0.6089      1142
   macro avg     0.5997    0.8155    0.6716      1142
weighted avg     0.5484    0.8091    0.6348      1142
"
0,5768,1e-05,32,5.299332881776186,0.9704269486878182,0.9724267501092582,8.050490175976472,0.9602810051337476,0.9649539148019719,20.365038820107777,0.15913957357406616,"              precision    recall  f1-score   support

         LOC     0.5705    0.8339    0.6775       301
         ORG     0.4682    0.8788    0.6109       553
         PER     0.8037    0.9097    0.8534       288

   micro avg     0.5538    0.8748    0.6782      1142
   macro avg     0.6141    0.8742    0.7139      1142
weighted avg     0.5798    0.8748    0.6896      1142
"
0,5768,1e-05,16,2.463530015057096,0.9697414806110458,0.9718594672020975,4.171333340736216,0.9626355811170726,0.9670616146403542,16.782574272155763,0.17062849601109822,"              precision    recall  f1-score   support

         LOC     0.6134    0.8538    0.7139       301
         ORG     0.4786    0.8680    0.6170       553
         PER     0.8858    0.8889    0.8873       288

   micro avg     0.5804    0.8695    0.6961      1142
   macro avg     0.6592    0.8702    0.7394      1142
weighted avg     0.6168    0.8695    0.7107      1142
"
0,5768,1e-05,8,1.495414594553557,0.9764982373678026,0.9778337465589043,2.118203477744289,0.968464121665959,0.9716955144747451,21.53003321091334,0.17586952447891235,"              precision    recall  f1-score   support

         LOC     0.6649    0.8505    0.7464       301
         ORG     0.5126    0.8807    0.6480       553
         PER     0.8926    0.9236    0.9078       288

   micro avg     0.6179    0.8835    0.7272      1142
   macro avg     0.6901    0.8849    0.7674      1142
weighted avg     0.6486    0.8835    0.7395      1142
"
0,5768,1e-06,32,5.374724585276383,0.9401684292988641,0.9469968283094394,8.123121505274492,0.9337630756166287,0.9451214360549829,44.576521122455596,0.15895959933598836,"              precision    recall  f1-score   support

         LOC     0.4672    0.8505    0.6031       301
         ORG     0.3241    0.7848    0.4588       553
         PER     0.6792    0.8750    0.7648       288

   micro avg     0.4172    0.8249    0.5541      1142
   macro avg     0.4902    0.8368    0.6089      1142
weighted avg     0.4514    0.8249    0.5740      1142
"
0,5768,1e-06,16,2.4904224912528523,0.959361535448492,0.9627136587221163,4.158793871729252,0.9526768826957965,0.9591006750048257,46.225478732585906,0.17042429049809774,"              precision    recall  f1-score   support

         LOC     0.5020    0.8405    0.6286       301
         ORG     0.4235    0.8264    0.5600       553
         PER     0.7768    0.9062    0.8365       288

   micro avg     0.5060    0.8503    0.6344      1142
   macro avg     0.5674    0.8577    0.6751      1142
weighted avg     0.5333    0.8503    0.6478      1142
"
0,5768,1e-06,8,1.3336147947200374,0.9666079122600861,0.9688769395433481,2.0217554373183737,0.9592388157640792,0.9641014695299079,46.43801573117574,0.17586259444554647,"              precision    recall  f1-score   support

         LOC     0.5476    0.8405    0.6632       301
         ORG     0.4571    0.8192    0.5868       553
         PER     0.7877    0.8889    0.8352       288

   micro avg     0.5411    0.8424    0.6589      1142
   macro avg     0.5975    0.8495    0.6951      1142
weighted avg     0.5643    0.8424    0.6696      1142
"
0,78516,0.0001,32,6.080483739192669,0.9536819428123776,0.9592486132475385,10.442706653738723,0.9422163893928281,0.952825619088995,12.695955952008566,0.1601568857828776,"              precision    recall  f1-score   support

         LOC     0.7016    0.7110    0.7063       301
         ORG     0.3290    0.7848    0.4637       553
         PER     0.8462    0.9167    0.8800       288

   micro avg     0.4711    0.7986    0.5926      1142
   macro avg     0.6256    0.8041    0.6833      1142
weighted avg     0.5577    0.7986    0.6326      1142
"
0,78516,0.0001,16,4.7205774784088135,0.9299843321582452,0.9392393238651348,5.437706193941481,0.9210252055429035,0.9355424757396358,11.147420418262481,0.1711046854654948,"              precision    recall  f1-score   support

         LOC     0.2753    0.6512    0.3870       301
         ORG     0.2868    0.7848    0.4201       553
         PER     0.7194    0.8368    0.7737       288

   micro avg     0.3402    0.7627    0.4706      1142
   macro avg     0.4272    0.7576    0.5269      1142
weighted avg     0.3929    0.7627    0.5006      1142
"
0,78516,0.0001,8,3.6946949210821414,0.9535840188014101,0.957958006593275,2.89006825859348,0.9433743775813487,0.9528386069139887,13.187084237734476,0.17587695916493734,"              precision    recall  f1-score   support

         LOC     0.4792    0.8439    0.6113       301
         ORG     0.3403    0.7685    0.4717       553
         PER     0.8019    0.8576    0.8289       288

   micro avg     0.4437    0.8109    0.5736      1142
   macro avg     0.5405    0.8233    0.6373      1142
weighted avg     0.4933    0.8109    0.5986      1142
"
0,78516,1e-05,32,5.075542334180612,0.9808068938503721,0.9816339110951147,10.584844241904861,0.973289072451461,0.9754632937314957,22.827534528573356,0.15910490353902182,"              precision    recall  f1-score   support

         LOC     0.6590    0.8605    0.7464       301
         ORG     0.5843    0.8897    0.7054       553
         PER     0.9041    0.9167    0.9103       288

   micro avg     0.6647    0.8888    0.7606      1142
   macro avg     0.7158    0.8889    0.7874      1142
weighted avg     0.6847    0.8888    0.7679      1142
"
0,78516,1e-05,16,3.325651578676815,0.9798276537406972,0.9807620047162388,4.371504334945177,0.973366271664029,0.9756096967823694,22.362553298473358,0.17084493239720663,"              precision    recall  f1-score   support

         LOC     0.6535    0.8771    0.7489       301
         ORG     0.5696    0.8734    0.6895       553
         PER     0.9116    0.9306    0.9210       288

   micro avg     0.6565    0.8888    0.7552      1142
   macro avg     0.7115    0.8937    0.7865      1142
weighted avg     0.6779    0.8888    0.7635      1142
"
0,78516,1e-05,8,1.2089148661231293,0.9741480611045829,0.9759439422188734,2.1883104656374566,0.9622881846605165,0.9667242167499586,18.192438884576163,0.1771572271982829,"              precision    recall  f1-score   support

         LOC     0.5935    0.8538    0.7003       301
         ORG     0.4525    0.8174    0.5825       553
         PER     0.9091    0.9028    0.9059       288

   micro avg     0.5640    0.8485    0.6776      1142
   macro avg     0.6517    0.8580    0.7296      1142
weighted avg     0.6048    0.8485    0.6951      1142
"
0,78516,1e-06,32,5.019947923146761,0.9461417939678809,0.9517807879133628,8.273616048343042,0.9418303933299881,0.9509142265762429,43.28069022893906,0.1589864770571391,"              precision    recall  f1-score   support

         LOC     0.4480    0.8439    0.5853       301
         ORG     0.3591    0.7884    0.4935       553
         PER     0.7564    0.9167    0.8289       288

   micro avg     0.4479    0.8354    0.5831      1142
   macro avg     0.5212    0.8496    0.6359      1142
weighted avg     0.4828    0.8354    0.6023      1142
"
0,78516,1e-06,16,2.6029657601163936,0.9557383470426949,0.9596625089626464,4.2621409874957275,0.949048519705099,0.9565165954431347,40.629841327667236,0.17065505981445311,"              precision    recall  f1-score   support

         LOC     0.5020    0.8538    0.6322       301
         ORG     0.3901    0.8083    0.5262       553
         PER     0.8117    0.9132    0.8595       288

   micro avg     0.4879    0.8468    0.6191      1142
   macro avg     0.5679    0.8584    0.6726      1142
weighted avg     0.5259    0.8468    0.6382      1142
"
