,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,Fine Tuning Time(m),Test Labeling Time(m),classification_report,classification_report_json
0,5768,0.0001,32,9.736615946659676,0.9661216097131108,0.9685052999225714,9.305765527136186,0.9564513018322083,0.9620555000189214,3.9123767534891765,0.04502526124318441,"              precision    recall  f1-score   support

       LOC_B     0.6128    0.9203    0.7357       301
       LOC_I     0.7843    0.6667    0.7207       120
           O     0.9987    0.9598    0.9788     24118
       ORG_B     0.5154    0.9559    0.6697       544
       ORG_I     0.4803    0.8820    0.6219       373
       PER_B     0.8338    0.9476    0.8871       286
       PER_I     0.9884    0.9344    0.9607       183

    accuracy                         0.9565     25925
   macro avg     0.7448    0.8952    0.7964     25925
weighted avg     0.9737    0.9565    0.9621     25925
","{""LOC_B"": {""precision"": 0.6128318584070797, ""recall"": 0.920265780730897, ""f1-score"": 0.7357237715803454, ""support"": 301}, ""LOC_I"": {""precision"": 0.7843137254901961, ""recall"": 0.6666666666666666, ""f1-score"": 0.7207207207207207, ""support"": 120}, ""O"": {""precision"": 0.9986625825100306, ""recall"": 0.9597810763744921, ""f1-score"": 0.9788358669683066, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5153617443012884, ""recall"": 0.9558823529411765, ""f1-score"": 0.6696716033483581, ""support"": 544}, ""ORG_I"": {""precision"": 0.4802919708029197, ""recall"": 0.8820375335120644, ""f1-score"": 0.6219281663516067, ""support"": 373}, ""PER_B"": {""precision"": 0.8338461538461538, ""recall"": 0.9475524475524476, ""f1-score"": 0.8870703764320785, ""support"": 286}, ""PER_I"": {""precision"": 0.9884393063583815, ""recall"": 0.9344262295081968, ""f1-score"": 0.9606741573033709, ""support"": 183}, ""accuracy"": 0.9564513018322083, ""macro avg"": {""precision"": 0.7448210488165785, ""recall"": 0.8952302981837058, ""f1-score"": 0.7963749518149695, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9737008404431725, ""recall"": 0.9564513018322083, ""f1-score"": 0.9620555000189214, ""support"": 25925}}"
0,5768,0.0001,16,5.146946641544883,0.9645549789483991,0.9671708483540534,5.014421275652507,0.9517454194792672,0.9588237221135848,5.820616046587626,0.05033592383066813,"              precision    recall  f1-score   support

       LOC_B     0.6617    0.8837    0.7568       301
       LOC_I     0.7717    0.5917    0.6698       120
           O     0.9988    0.9556    0.9767     24118
       ORG_B     0.4783    0.9522    0.6368       544
       ORG_I     0.4195    0.8874    0.5697       373
       PER_B     0.8997    0.9406    0.9197       286
       PER_I     0.9301    0.9454    0.9377       183

    accuracy                         0.9517     25925
   macro avg     0.7371    0.8795    0.7810     25925
weighted avg     0.9730    0.9517    0.9588     25925
","{""LOC_B"": {""precision"": 0.6616915422885572, ""recall"": 0.8837209302325582, ""f1-score"": 0.7567567567567567, ""support"": 301}, ""LOC_I"": {""precision"": 0.7717391304347826, ""recall"": 0.5916666666666667, ""f1-score"": 0.669811320754717, ""support"": 120}, ""O"": {""precision"": 0.998786512958308, ""recall"": 0.9555518699726345, ""f1-score"": 0.9766909645702662, ""support"": 24118}, ""ORG_B"": {""precision"": 0.47830101569713757, ""recall"": 0.9522058823529411, ""f1-score"": 0.6367547633681623, ""support"": 544}, ""ORG_I"": {""precision"": 0.41951837769328265, ""recall"": 0.8873994638069705, ""f1-score"": 0.5697074010327022, ""support"": 373}, ""PER_B"": {""precision"": 0.8996655518394648, ""recall"": 0.9405594405594405, ""f1-score"": 0.9196581196581196, ""support"": 286}, ""PER_I"": {""precision"": 0.9301075268817204, ""recall"": 0.9453551912568307, ""f1-score"": 0.9376693766937669, ""support"": 183}, ""accuracy"": 0.9517454194792672, ""macro avg"": {""precision"": 0.737115665399036, ""recall"": 0.8794942064068633, ""f1-score"": 0.7810069575477845, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9729875063480725, ""recall"": 0.9517454194792672, ""f1-score"": 0.9588237221135848, ""support"": 25925}}"
0,5768,0.0001,8,1.5461693872131554,0.9489865857240771,0.9546007712299331,2.641033405341484,0.9362777242044359,0.9474112829775123,4.5025554696718855,0.05134892463684082,"              precision    recall  f1-score   support

       LOC_B     0.5674    0.8671    0.6859       301
       LOC_I     0.5985    0.6583    0.6270       120
           O     0.9990    0.9389    0.9680     24118
       ORG_B     0.4577    0.9743    0.6228       544
       ORG_I     0.3320    0.9142    0.4871       373
       PER_B     0.8257    0.8776    0.8508       286
       PER_I     0.9379    0.9071    0.9222       183

    accuracy                         0.9363     25925
   macro avg     0.6740    0.8768    0.7377     25925
weighted avg     0.9689    0.9363    0.9474     25925
","{""LOC_B"": {""precision"": 0.5673913043478261, ""recall"": 0.867109634551495, ""f1-score"": 0.6859395532194481, ""support"": 301}, ""LOC_I"": {""precision"": 0.5984848484848485, ""recall"": 0.6583333333333333, ""f1-score"": 0.626984126984127, ""support"": 120}, ""O"": {""precision"": 0.9990294260378524, ""recall"": 0.9389252840202339, ""f1-score"": 0.968045313668911, ""support"": 24118}, ""ORG_B"": {""precision"": 0.45768566493955093, ""recall"": 0.9742647058823529, ""f1-score"": 0.6227967097532314, ""support"": 544}, ""ORG_I"": {""precision"": 0.3320350535540409, ""recall"": 0.9142091152815014, ""f1-score"": 0.4871428571428571, ""support"": 373}, ""PER_B"": {""precision"": 0.8256578947368421, ""recall"": 0.8776223776223776, ""f1-score"": 0.8508474576271187, ""support"": 286}, ""PER_I"": {""precision"": 0.9378531073446328, ""recall"": 0.907103825136612, ""f1-score"": 0.9222222222222222, ""support"": 183}, ""accuracy"": 0.9362777242044359, ""macro avg"": {""precision"": 0.6740196142065135, ""recall"": 0.8767954679754151, ""f1-score"": 0.7377111772311309, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9688636457029655, ""recall"": 0.9362777242044359, ""f1-score"": 0.9474112829775123, ""support"": 25925}}"
0,5768,1e-05,32,5.939850153831335,0.9725839616175462,0.9743083582008094,8.10952550118022,0.9638187078109932,0.9678488436558347,4.58033553759257,0.04502939780553182,"              precision    recall  f1-score   support

       LOC_B     0.6366    0.9369    0.7581       301
       LOC_I     0.7812    0.6250    0.6944       120
           O     0.9989    0.9667    0.9825     24118
       ORG_B     0.5783    0.9706    0.7248       544
       ORG_I     0.5280    0.9357    0.6750       373
       PER_B     0.9057    0.9406    0.9228       286
       PER_I     0.9713    0.9235    0.9468       183

    accuracy                         0.9638     25925
   macro avg     0.7714    0.8998    0.8149     25925
weighted avg     0.9768    0.9638    0.9678     25925
","{""LOC_B"": {""precision"": 0.636568848758465, ""recall"": 0.9368770764119602, ""f1-score"": 0.7580645161290323, ""support"": 301}, ""LOC_I"": {""precision"": 0.78125, ""recall"": 0.625, ""f1-score"": 0.6944444444444444, ""support"": 120}, ""O"": {""precision"": 0.9988860802879054, ""recall"": 0.9667053652873373, ""f1-score"": 0.9825322910301523, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5783132530120482, ""recall"": 0.9705882352941176, ""f1-score"": 0.72477693891558, ""support"": 544}, ""ORG_I"": {""precision"": 0.5279878971255674, ""recall"": 0.935656836461126, ""f1-score"": 0.6750483558994197, ""support"": 373}, ""PER_B"": {""precision"": 0.9057239057239057, ""recall"": 0.9405594405594405, ""f1-score"": 0.9228130360205832, ""support"": 286}, ""PER_I"": {""precision"": 0.9712643678160919, ""recall"": 0.9234972677595629, ""f1-score"": 0.9467787114845938, ""support"": 183}, ""accuracy"": 0.9638187078109932, ""macro avg"": {""precision"": 0.7714277646748549, ""recall"": 0.8998406031105065, ""f1-score"": 0.8149226134176866, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9768490653606084, ""recall"": 0.9638187078109932, ""f1-score"": 0.9678488436558347, ""support"": 25925}}"
0,5768,1e-05,16,1.9751048357440875,0.9674924116322334,0.9698209405454062,3.6140591232653927,0.9587270973963355,0.9638997579791602,3.9073581377665203,0.04811314741770426,"              precision    recall  f1-score   support

       LOC_B     0.5826    0.9136    0.7115       301
       LOC_I     0.7835    0.6333    0.7005       120
           O     0.9990    0.9612    0.9797     24118
       ORG_B     0.5405    0.9816    0.6971       544
       ORG_I     0.5029    0.9249    0.6516       373
       PER_B     0.9057    0.9406    0.9228       286
       PER_I     0.9667    0.9508    0.9587       183

    accuracy                         0.9587     25925
   macro avg     0.7544    0.9009    0.8031     25925
weighted avg     0.9752    0.9587    0.9639     25925
","{""LOC_B"": {""precision"": 0.5826271186440678, ""recall"": 0.9136212624584718, ""f1-score"": 0.7115135834411385, ""support"": 301}, ""LOC_I"": {""precision"": 0.7835051546391752, ""recall"": 0.6333333333333333, ""f1-score"": 0.7004608294930875, ""support"": 120}, ""O"": {""precision"": 0.999008834302952, ""recall"": 0.9611908118417779, ""f1-score"": 0.9797350125731673, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5404858299595142, ""recall"": 0.9816176470588235, ""f1-score"": 0.6971279373368146, ""support"": 544}, ""ORG_I"": {""precision"": 0.5029154518950437, ""recall"": 0.9249329758713136, ""f1-score"": 0.6515580736543909, ""support"": 373}, ""PER_B"": {""precision"": 0.9057239057239057, ""recall"": 0.9405594405594405, ""f1-score"": 0.9228130360205832, ""support"": 286}, ""PER_I"": {""precision"": 0.9666666666666667, ""recall"": 0.9508196721311475, ""f1-score"": 0.9586776859504132, ""support"": 183}, ""accuracy"": 0.9587270973963355, ""macro avg"": {""precision"": 0.7544189945473322, ""recall"": 0.9008678776077582, ""f1-score"": 0.8031265940670851, ""support"": 25925}, ""weighted avg"": {""precision"": 0.975160472095623, ""recall"": 0.9587270973963355, ""f1-score"": 0.9638997579791602, ""support"": 25925}}"
0,5768,1e-05,8,1.237462751348229,0.969450700088123,0.9715499888678134,1.8365476547291986,0.9605400192864031,0.9652384129627697,4.972039635976156,0.051323135693868004,"              precision    recall  f1-score   support

       LOC_B     0.6397    0.9203    0.7548       301
       LOC_I     0.8085    0.6333    0.7103       120
           O     0.9988    0.9631    0.9806     24118
       ORG_B     0.5198    0.9871    0.6810       544
       ORG_I     0.5500    0.9142    0.6868       373
       PER_B     0.8698    0.9580    0.9118       286
       PER_I     0.9659    0.9290    0.9471       183

    accuracy                         0.9605     25925
   macro avg     0.7647    0.9007    0.8103     25925
weighted avg     0.9756    0.9605    0.9652     25925
","{""LOC_B"": {""precision"": 0.6397228637413395, ""recall"": 0.920265780730897, ""f1-score"": 0.7547683923705721, ""support"": 301}, ""LOC_I"": {""precision"": 0.8085106382978723, ""recall"": 0.6333333333333333, ""f1-score"": 0.7102803738317757, ""support"": 120}, ""O"": {""precision"": 0.9988389094349359, ""recall"": 0.9630566381955386, ""f1-score"": 0.9806214641560415, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5198451113262342, ""recall"": 0.9871323529411765, ""f1-score"": 0.6810399492707673, ""support"": 544}, ""ORG_I"": {""precision"": 0.55, ""recall"": 0.9142091152815014, ""f1-score"": 0.6868076535750252, ""support"": 373}, ""PER_B"": {""precision"": 0.8698412698412699, ""recall"": 0.958041958041958, ""f1-score"": 0.9118136439267887, ""support"": 286}, ""PER_I"": {""precision"": 0.9659090909090909, ""recall"": 0.9289617486338798, ""f1-score"": 0.9470752089136492, ""support"": 183}, ""accuracy"": 0.9605400192864031, ""macro avg"": {""precision"": 0.764666840507249, ""recall"": 0.9007144181654693, ""f1-score"": 0.8103438122920884, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9756241613772849, ""recall"": 0.9605400192864031, ""f1-score"": 0.9652384129627697, ""support"": 25925}}"
0,5768,1e-06,32,4.759469321140876,0.9443846078527367,0.9504990105980838,6.949402310392436,0.9453423336547734,0.9534721644079078,9.389948499202728,0.044926218191782635,"              precision    recall  f1-score   support

       LOC_B     0.5296    0.9203    0.6723       301
       LOC_I     0.7212    0.6250    0.6696       120
           O     0.9991    0.9468    0.9722     24118
       ORG_B     0.4581    0.9743    0.6232       544
       ORG_I     0.4545    0.9249    0.6095       373
       PER_B     0.7977    0.9510    0.8676       286
       PER_I     0.9405    0.9508    0.9457       183

    accuracy                         0.9453     25925
   macro avg     0.7001    0.8990    0.7657     25925
weighted avg     0.9705    0.9453    0.9535     25925
","{""LOC_B"": {""precision"": 0.5296367112810707, ""recall"": 0.920265780730897, ""f1-score"": 0.6723300970873786, ""support"": 301}, ""LOC_I"": {""precision"": 0.7211538461538461, ""recall"": 0.625, ""f1-score"": 0.6696428571428571, ""support"": 120}, ""O"": {""precision"": 0.9990812040602031, ""recall"": 0.9468032175138901, ""f1-score"": 0.9722399625324648, ""support"": 24118}, ""ORG_B"": {""precision"": 0.4580812445980985, ""recall"": 0.9742647058823529, ""f1-score"": 0.6231628453850676, ""support"": 544}, ""ORG_I"": {""precision"": 0.45454545454545453, ""recall"": 0.9249329758713136, ""f1-score"": 0.6095406360424027, ""support"": 373}, ""PER_B"": {""precision"": 0.7976539589442815, ""recall"": 0.951048951048951, ""f1-score"": 0.8676236044657097, ""support"": 286}, ""PER_I"": {""precision"": 0.9405405405405406, ""recall"": 0.9508196721311475, ""f1-score"": 0.9456521739130436, ""support"": 183}, ""accuracy"": 0.9453423336547734, ""macro avg"": {""precision"": 0.7000989943033565, ""recall"": 0.8990193290255074, ""f1-score"": 0.7657417395098464, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9705222447036391, ""recall"": 0.9453423336547734, ""f1-score"": 0.9534721644079078, ""support"": 25925}}"
0,5768,1e-06,16,2.3143796852001777,0.9553510232057182,0.9597317909825657,3.9230078248690594,0.9500482160077146,0.9570775163269776,9.095581730206808,0.04845141569773356,"              precision    recall  f1-score   support

       LOC_B     0.5466    0.8970    0.6792       301
       LOC_I     0.8046    0.5833    0.6763       120
           O     0.9987    0.9522    0.9749     24118
       ORG_B     0.4793    0.9798    0.6437       544
       ORG_I     0.4699    0.9196    0.6219       373
       PER_B     0.8405    0.9580    0.8954       286
       PER_I     0.9667    0.9508    0.9587       183

    accuracy                         0.9500     25925
   macro avg     0.7295    0.8915    0.7786     25925
weighted avg     0.9721    0.9500    0.9571     25925
","{""LOC_B"": {""precision"": 0.5465587044534413, ""recall"": 0.8970099667774086, ""f1-score"": 0.679245283018868, ""support"": 301}, ""LOC_I"": {""precision"": 0.8045977011494253, ""recall"": 0.5833333333333334, ""f1-score"": 0.6763285024154589, ""support"": 120}, ""O"": {""precision"": 0.998695425291355, ""recall"": 0.9522348453437267, ""f1-score"": 0.9749119157787495, ""support"": 24118}, ""ORG_B"": {""precision"": 0.47931654676258995, ""recall"": 0.9797794117647058, ""f1-score"": 0.643719806763285, ""support"": 544}, ""ORG_I"": {""precision"": 0.46986301369863015, ""recall"": 0.9195710455764075, ""f1-score"": 0.6219401631912964, ""support"": 373}, ""PER_B"": {""precision"": 0.8404907975460123, ""recall"": 0.958041958041958, ""f1-score"": 0.8954248366013072, ""support"": 286}, ""PER_I"": {""precision"": 0.9666666666666667, ""recall"": 0.9508196721311475, ""f1-score"": 0.9586776859504132, ""support"": 183}, ""accuracy"": 0.9500482160077146, ""macro avg"": {""precision"": 0.7294555507954458, ""recall"": 0.8915414618526697, ""f1-score"": 0.7786068848170541, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9720690312440468, ""recall"": 0.9500482160077146, ""f1-score"": 0.9570775163269776, ""support"": 25925}}"
0,5768,1e-06,8,1.065547887893284,0.9584842847351415,0.9620131716044907,1.8132562992611416,0.9543683702989393,0.9603158932588294,10.400349501768748,0.05290490388870239,"              precision    recall  f1-score   support

       LOC_B     0.5456    0.9136    0.6832       301
       LOC_I     0.7629    0.6167    0.6820       120
           O     0.9991    0.9565    0.9773     24118
       ORG_B     0.5226    0.9779    0.6812       544
       ORG_I     0.4893    0.9169    0.6381       373
       PER_B     0.8204    0.9580    0.8839       286
       PER_I     0.9617    0.9617    0.9617       183

    accuracy                         0.9544     25925
   macro avg     0.7288    0.9002    0.7868     25925
weighted avg     0.9732    0.9544    0.9603     25925
","{""LOC_B"": {""precision"": 0.5456349206349206, ""recall"": 0.9136212624584718, ""f1-score"": 0.6832298136645962, ""support"": 301}, ""LOC_I"": {""precision"": 0.7628865979381443, ""recall"": 0.6166666666666667, ""f1-score"": 0.6820276497695853, ""support"": 120}, ""O"": {""precision"": 0.999090515374621, ""recall"": 0.9565055145534456, ""f1-score"": 0.9773343501101508, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5225933202357563, ""recall"": 0.9779411764705882, ""f1-score"": 0.6811779769526248, ""support"": 544}, ""ORG_I"": {""precision"": 0.4892703862660944, ""recall"": 0.9168900804289544, ""f1-score"": 0.6380597014925374, ""support"": 373}, ""PER_B"": {""precision"": 0.8203592814371258, ""recall"": 0.958041958041958, ""f1-score"": 0.8838709677419354, ""support"": 286}, ""PER_I"": {""precision"": 0.9617486338797814, ""recall"": 0.9617486338797814, ""f1-score"": 0.9617486338797814, ""support"": 183}, ""accuracy"": 0.9543683702989393, ""macro avg"": {""precision"": 0.728797665109492, ""recall"": 0.9002021846428381, ""f1-score"": 0.7867784419444588, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9731633144626932, ""recall"": 0.9543683702989393, ""f1-score"": 0.9603158932588294, ""support"": 25925}}"
0,78516,0.0001,32,8.428782541018267,0.9712131596984236,0.9730396468020864,8.850122865946854,0.9617357762777242,0.9664666033188877,4.045490097999573,0.049823300043741865,"              precision    recall  f1-score   support

       LOC_B     0.7013    0.8970    0.7872       301
       LOC_I     0.7069    0.6833    0.6949       120
           O     0.9989    0.9648    0.9815     24118
       ORG_B     0.5844    0.9669    0.7285       544
       ORG_I     0.4572    0.9169    0.6102       373
       PER_B     0.9040    0.9545    0.9286       286
       PER_I     0.9503    0.9399    0.9451       183

    accuracy                         0.9617     25925
   macro avg     0.7576    0.9033    0.8109     25925
weighted avg     0.9762    0.9617    0.9665     25925
","{""LOC_B"": {""precision"": 0.7012987012987013, ""recall"": 0.8970099667774086, ""f1-score"": 0.7871720116618076, ""support"": 301}, ""LOC_I"": {""precision"": 0.7068965517241379, ""recall"": 0.6833333333333333, ""f1-score"": 0.6949152542372882, ""support"": 120}, ""O"": {""precision"": 0.9989267161808268, ""recall"": 0.9647566133178539, ""f1-score"": 0.9815443673409124, ""support"": 24118}, ""ORG_B"": {""precision"": 0.5844444444444444, ""recall"": 0.9669117647058824, ""f1-score"": 0.7285318559556787, ""support"": 544}, ""ORG_I"": {""precision"": 0.4572192513368984, ""recall"": 0.9168900804289544, ""f1-score"": 0.6101694915254238, ""support"": 373}, ""PER_B"": {""precision"": 0.9039735099337748, ""recall"": 0.9545454545454546, ""f1-score"": 0.9285714285714285, ""support"": 286}, ""PER_I"": {""precision"": 0.9502762430939227, ""recall"": 0.9398907103825137, ""f1-score"": 0.9450549450549451, ""support"": 183}, ""accuracy"": 0.9617357762777242, ""macro avg"": {""precision"": 0.7575764882875294, ""recall"": 0.9033339890702001, ""f1-score"": 0.8108513363353549, ""support"": 25925}, ""weighted avg"": {""precision"": 0.9762372447830541, ""recall"": 0.9617357762777242, ""f1-score"": 0.9664666033188877, ""support"": 25925}}"
